SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,C,N/A,12.1579999993264,0.56,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,14,12.7179999993241,0.12,Patient,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,12.8439999993134,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,55,12.9639999993087,0.12,Patient,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,13.089999999298,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,26,13.3299999993033,0.12,Patient,1,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,13.4559999992925,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,12,13.5359999992943,0.12,Patient,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,39,13.6619999992836,0.12,Patient,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,N/A,13.7879999992729,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,46,13.9079999992682,0.12,Patient,1,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,14.0339999992575,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,22,14.1139999992592,0.12,Patient,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,14.2399999992485,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,14,14.2799999992421,0.12,Agent,1,Zach Star is being balanced by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,14.4059999992314,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,43,14.445999999225,0.12,Agent,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,10,14.5719999992143,0.12,Patient,1,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,14.6979999992036,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,46,14.8179999991989,0.12,Agent,1,Kyle Square is being stopped by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,51,14.9439999991882,0.12,Patient,0,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,15.0699999991775,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,34,15.4699999991717,0.12,Patient,0,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,22,15.595999999161,0.12,Agent,1,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,15.7219999991503,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,19,15.9219999991474,0.12,Agent,1,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,16.0479999991367,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,50,16.167999999132,0.12,Agent,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,16.2939999991213,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,4,16.6539999991219,0.12,Agent,1,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,C,9,16.7799999991112,0.12,Patient,0,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval
reference,2,C,N/A,16.9059999991005,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,11,16.9859999991022,0.12,Agent,0,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star
reference,2,C,N/A,17.1119999990915,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,36,17.3119999990886,0.12,Agent,1,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,N/A,17.4379999990779,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,17,17.5979999990814,0.12,Patient,0,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star
reference,2,C,N/A,17.7239999990707,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,8,17.8839999990741,0.12,Patient,0,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star
reference,2,C,N/A,18.0099999990634,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2,18.0899999990652,0.12,Agent,1,Zach Star is being stopped by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,18.2159999990545,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,38,18.2559999990481,0.12,Patient,1,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle
reference,2,C,N/A,18.3819999990374,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,42,18.5419999990409,0.12,Patient,0,Zach Star is shaking Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,4,18.6679999990301,0.12,Patient,1,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,18.7939999990194,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,33,18.9939999990165,0.12,Agent,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,N/A,19.1199999990058,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,33,19.3199999990029,0.12,Patient,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,N/A,19.4459999989922,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,47,19.4859999989858,0.12,Patient,0,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,19.6119999989751,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,11,19.8919999989739,0.12,Patient,0,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star
reference,2,C,15,20.0179999989632,0.12,Agent,1,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval
reference,2,C,N/A,20.1439999989525,0.36,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1,20.5039999989531,0.12,Agent,0,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,60,20.6299999989424,0.12,Agent,0,Melissa Oval is balancing Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,20.7559999989317,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,45,20.9559999989287,0.12,Agent,1,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,58,21.081999998918,0.12,Agent,1,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,N/A,21.2079999989073,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,50,21.2479999989009,0.12,Patient,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,21.3739999988902,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,8,21.6139999988955,0.12,Agent,0,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star
reference,2,C,N/A,21.7399999988847,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,16,22.0199999988836,0.12,Patient,1,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,2,C,N/A,22.1459999988729,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,30,22.1859999988665,0.12,Agent,0,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,22.3119999988558,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,49,22.5119999988528,0.12,Agent,0,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square
reference,2,C,53,22.6379999988421,0.12,Patient,1,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,N/A,22.7639999988314,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,57,22.803999998825,0.12,Patient,0,Melissa Oval is shaking Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,N/A,22.9299999988143,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,18,23.1299999988114,0.12,Patient,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,29,23.2559999988007,0.12,Patient,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,N/A,23.38199999879,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2,23.5019999987853,0.12,Patient,1,Zach Star is being stopped by Kyle Square.,Kyle,Square,Zach,Star
reference,2,C,N/A,23.6279999987746,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,40,23.8279999987717,0.12,Agent,0,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,N/A,23.953999998761,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,24,24.0339999987627,0.12,Agent,0,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,N/A,24.159999998752,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,54,24.479999998759,0.12,Patient,1,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star
reference,2,C,7,24.6059999987483,0.12,Agent,0,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,N/A,24.7319999987376,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,42,24.8919999987411,0.12,Agent,0,Zach Star is shaking Melissa Oval.,Zach,Star,Melissa,Oval
