Onset,Duration,Condition
0,6,ActPas_SYNT_SAME
6,6,DOPP_SYNT_SAME
12,2,NULL
14,6,ActPas_SEM_DIFF
20,6,ActPas_SEM_DIFF
26,2,NULL
28,6,DOPP_SYNT_SAME
34,2,NULL
36,6,DOPP_SEM_DIFF
42,2,NULL
44,6,ActPas_SEM_SAME
50,2,NULL
52,6,DOPP_SEM_SAME
58,6,ActPas_SYNT_DIFF
64,10,NULL
74,6,DOPP_SYNT_SAME
80,2,NULL
82,6,ActPas_SYNT_DIFF
88,6,DOPP_SYNT_DIFF
94,2,NULL
96,6,ActPas_SEM_SAME
102,4,NULL
106,6,ActPas_SYNT_SAME
112,6,ActPas_SYNT_DIFF
118,6,ActPas_SYNT_DIFF
124,2,NULL
126,6,ActPas_SEM_SAME
132,4,NULL
136,6,DOPP_SEM_DIFF
142,6,NULL
148,6,DOPP_SEM_SAME
154,6,DOPP_SYNT_SAME
160,2,NULL
162,6,DOPP_SEM_SAME
168,6,ActPas_SYNT_SAME
174,2,NULL
176,6,ActPas_SYNT_SAME
182,4,NULL
186,6,DOPP_SYNT_DIFF
192,6,NULL
198,6,DOPP_SEM_DIFF
204,6,DOPP_SEM_DIFF
210,10,NULL
220,6,DOPP_SEM_SAME
226,2,NULL
228,6,ActPas_SEM_DIFF
234,6,DOPP_SYNT_DIFF
240,10,NULL
250,6,ActPas_SYNT_DIFF
256,8,NULL
264,6,ActPas_SEM_DIFF
270,10,NULL
280,6,DOPP_SEM_SAME
286,6,DOPP_SEM_DIFF
292,4,NULL
296,6,DOPP_SYNT_DIFF
302,6,ActPas_SEM_DIFF
308,6,ActPas_SEM_SAME
314,6,NULL
320,6,DOPP_SYNT_SAME
326,4,NULL
330,6,ActPas_SEM_SAME
336,6,DOPP_SYNT_DIFF
342,6,NULL
348,6,ActPas_SYNT_SAME
354,6,NULL
