SubjID,List,Run,Order,TrialNum,Item,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
4,1,1,1,1,4,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,3.79999999998836,NA,NA,NA
4,1,1,1,2,17,ActPas_SEM_DIFF,active,1,name-occ,verb_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,3,38,ActPas_SEM_DIFF,passive,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,4,73,ActPas_SEM_DIFF,PP,1,name-occ,occup_synon,,,,
4,1,1,1,5,76,ActPas_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,6,45,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,7,30,ActPas_SEM_DIFF,passive,0,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,8,52,ActPas_SEM_DIFF,DblObj,1,occ-name,occup_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,9,61,ActPas_SEM_DIFF,PP,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,10,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
4,1,1,1,11,12,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,,,,
4,1,1,1,12,33,ActPas_SEM_DIFF,passive,1,name-occ,noun_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,13,10,ActPas_SEM_DIFF,active,1,occ-name,NA,,,,
4,1,1,1,14,44,ActPas_SEM_DIFF,DblObj,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,15,3,ActPas_SEM_DIFF,active,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,16,77,ActPas_SEM_DIFF,PP,1,name-occ,obj_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,17,27,ActPas_SEM_DIFF,passive,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,18,21,ActPas_SEM_DIFF,passive,1,name-occ,noun_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,19,41,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,20,48,ActPas_SEM_DIFF,DblObj,1,occ-name,obj_switch,,,,
4,1,1,1,21,19,ActPas_SEM_DIFF,active,0,name-occ,NA,,,,
4,1,1,1,22,29,ActPas_SEM_DIFF,passive,1,name-occ,verb_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,23,5,ActPas_SEM_DIFF,active,1,name-occ,noun_synon,,,,
4,1,1,1,24,68,ActPas_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,25,8,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
4,1,1,1,26,13,ActPas_SEM_DIFF,active,1,name-occ,noun_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,27,14,ActPas_SEM_DIFF,active,0,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,28,36,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,29,72,ActPas_SEM_DIFF,PP,1,occ-name,occup_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,30,25,ActPas_SEM_DIFF,passive,1,name-occ,noun_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
