SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
debug,2,A,55,0,0.12,Agent,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
debug,2,A,N/A,0.12599999998929,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,50,0.245999999984633,0.12,Patient,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,2,A,6,0.371999999973923,0.12,Agent,1,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,A,23,0.497999999963213,0.12,Agent,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,A,N/A,0.623999999952503,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,23,0.703999999968801,0.12,Patient,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,A,N/A,0.82999999995809,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,9,0.989999999932479,0.12,Agent,1,Melissa Oval is being rolled by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,A,N/A,1.11599999992177,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,5,1.31599999993341,0.12,Agent,1,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star
debug,2,A,N/A,1.4419999999227,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,21,1.521999999939,0.12,Patient,0,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,2,A,39,1.64799999992829,0.12,Agent,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
debug,2,A,29,1.77399999991758,0.12,Patient,1,Zach Star is being balanced by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,A,N/A,1.89999999990687,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,50,2.01999999990221,0.12,Agent,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
debug,2,A,N/A,2.1459999998915,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,49,2.18599999987055,0.12,Agent,0,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square
debug,2,A,N/A,2.31199999985984,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,31,2.43199999985518,0.12,Agent,0,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square
debug,2,A,N/A,2.55799999984447,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,3,2.67799999983981,0.12,Agent,1,Melissa Oval is being stopped by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,A,10,2.8039999998291,0.12,Agent,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
debug,2,A,17,2.92999999981839,0.12,Agent,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,A,N/A,3.05599999980768,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,42,3.33599999983562,0.12,Agent,1,Melissa Oval is being shaken by Zach Star.,Zach,Star,Melissa,Oval
debug,2,A,N/A,3.46199999982491,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,36,3.6219999997993,0.12,Agent,1,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval
debug,2,A,N/A,3.74799999978859,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,12,3.94799999980023,0.12,Patient,1,Melissa Oval is being shaken by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,A,N/A,4.07399999978952,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,43,4.11399999976857,0.12,Patient,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
debug,2,A,17,4.23999999975786,0.12,Patient,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,A,N/A,4.36599999974715,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,58,4.60599999973783,0.12,Agent,0,Melissa Oval is balancing Kyle Square.,Melissa,Oval,Kyle,Square
debug,2,A,N/A,4.73199999972712,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,30,4.85199999972247,0.12,Agent,0,Lily Triangle is balancing Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,2,A,10,4.97799999971176,0.12,Patient,0,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle
debug,2,A,N/A,5.10399999970105,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,14,5.22399999969639,0.12,Patient,0,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star
debug,2,A,N/A,5.34999999968568,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,33,5.50999999966007,0.12,Patient,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
debug,2,A,N/A,5.63599999964936,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,32,5.7559999996447,0.12,Agent,0,Zach Star is stopping Lily Triangle.,Zach,Star,Lily,Triangle
debug,2,A,N/A,5.88199999963399,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,44,6.16199999966193,0.12,Agent,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
debug,2,A,N/A,6.28799999965122,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,8,6.40799999964656,0.12,Agent,0,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star
debug,2,A,N/A,6.53399999963585,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,19,6.6539999996312,0.12,Agent,1,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,2,A,N/A,6.77999999962049,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,21,7.01999999961117,0.12,Agent,0,Lily Triangle is bouncing Melissa Oval.,Lily,Triangle,Melissa,Oval
debug,2,A,N/A,7.14599999960046,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,45,7.26599999959581,0.12,Agent,0,Zach Star is balancing Melissa Oval.,Zach,Star,Melissa,Oval
debug,2,A,N/A,7.3919999995851,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,57,7.43199999956414,0.12,Agent,1,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star
debug,2,A,N/A,7.55799999955343,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,49,7.59799999953248,0.12,Patient,0,Melissa Oval is bouncing Kyle Square.,Melissa,Oval,Kyle,Square
debug,2,A,N/A,7.72399999952177,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,39,7.96399999951245,0.12,Patient,1,Melissa Oval is being rolled by Zach Star.,Zach,Star,Melissa,Oval
debug,2,A,N/A,8.08999999950174,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,26,8.24999999947613,0.12,Patient,0,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star
debug,2,A,19,8.37599999946542,0.12,Patient,1,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,2,A,44,8.50199999945471,0.12,Patient,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
debug,2,A,N/A,8.627999999444,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,6,8.86799999943469,0.12,Patient,1,Melissa Oval is being bounced by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,A,N/A,8.99399999942398,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,1,9.23399999941466,0.12,Agent,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
debug,2,A,N/A,9.35999999940395,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,43,9.4799999993993,0.12,Agent,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
debug,2,A,N/A,9.60599999938859,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,11,9.64599999936763,0.12,Patient,0,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star
debug,2,A,N/A,9.77199999935692,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,A,57,9.89199999935227,0.12,Patient,1,Zach Star is being shaken by Melissa Oval.,Melissa,Oval,Zach,Star
debug,2,A,N/A,10.0179999993416,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
