SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
debug,2,E,46,0,0.12,Agent,0,Melissa Oval is stopping Kyle Square.,Melissa,Oval,Kyle,Square
debug,2,E,N/A,0.12599999998929,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,35,0.206000000005588,0.12,Patient,1,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle
debug,2,E,31,0.331999999994878,0.12,Agent,0,Zach Star is stopping Kyle Square.,Zach,Star,Kyle,Square
debug,2,E,14,0.457999999984168,0.12,Patient,0,Kyle Square is balancing Zach Star.,Kyle,Square,Zach,Star
debug,2,E,33,0.583999999973457,0.12,Patient,1,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval
debug,2,E,N/A,0.709999999962747,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,56,1.02999999996973,0.12,Agent,0,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle
debug,2,E,N/A,1.15599999995902,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,1,1.23599999997532,0.12,Patient,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
debug,2,E,N/A,1.36199999996461,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,2,1.44199999998091,0.12,Patient,0,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star
debug,2,E,N/A,1.5679999999702,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,41,1.72799999994459,0.12,Agent,0,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle
debug,2,E,N/A,1.85399999993388,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,15,2.13399999996182,0.12,Agent,1,Melissa Oval is being balanced by Kyle Square.,Kyle,Square,Melissa,Oval
debug,2,E,25,2.25999999995111,0.12,Agent,1,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square
debug,2,E,N/A,2.3859999999404,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,11,2.42599999991944,0.12,Patient,1,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star
debug,2,E,N/A,2.55199999990873,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,37,2.71199999988312,0.12,Patient,0,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square
debug,2,E,12,2.83799999987241,0.12,Agent,0,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval
debug,2,E,N/A,2.9639999998617,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,17,3.16399999987334,0.12,Patient,1,Zach Star is being stopped by Lily Triangle.,Lily,Triangle,Zach,Star
debug,2,E,N/A,3.28999999986263,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
debug,2,E,13,3.40999999985797,0.12,Patient,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
