SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence
debug,2,67,0,6,,,Lily Triangle is being shaken by Melissa Oval. (Patient highlight)
debug,2,67,0.230000000000018,0.008,,,N/A
debug,2,67,0.237999999999829,6,,,Lily Triangle is being shaken by Melissa Oval. (Patient highlight)
debug,2,67,0.467999999999847,0.002,,,N/A
debug,2,67,0.4699999999998,6,,,Lily Triangle is being stopped by Kyle Square. (Agent highlight)
debug,2,67,0.699999999999818,0.004,,,N/A
debug,2,67,0.703999999999724,6,,,Lily Triangle is being stopped by Kyle Square. (Agent highlight)
debug,2,67,0.933999999999742,0.024,,,N/A
debug,2,67,0.957999999999629,6,,,Zach Star is being balanced by Melissa Oval. (Patient highlight)
debug,2,67,1.18799999999965,6,,,Zach Star is being balanced by Melissa Oval. (Patient highlight)
debug,2,67,1.41799999999967,0.004,,,N/A
debug,2,67,1.42199999999957,6,,,Melissa Oval is rolling Lily Triangle. (Patient highlight)
debug,2,67,1.65199999999959,0.006,,,N/A
debug,2,67,1.65799999999945,6,,,Melissa Oval is rolling Lily Triangle. (Patient highlight)
debug,2,67,1.88799999999947,0.012,,,N/A
debug,2,67,1.89999999999964,6,,,Lily Triangle is shaking Melissa Oval. (Patient highlight)
debug,2,67,2.12999999999965,0.004,,,N/A
debug,2,67,2.13399999999956,6,,,Melissa Oval is being shaken by Zach Star. (Patient highlight)
debug,2,67,2.36399999999958,0.002,,,N/A
debug,2,67,2.36599999999953,6,,,Melissa Oval is being shaken by Zach Star. (Patient highlight)
debug,2,67,2.59599999999955,6,,,Kyle Square is being balanced by Zach Star. (Agent highlight)
debug,2,67,2.82599999999957,0.01,,,N/A
debug,2,67,2.83599999999979,6,,,Kyle Square is being balanced by Zach Star. (Agent highlight)
debug,2,67,3.0659999999998,0.006,,,N/A
debug,2,67,3.07199999999966,6,,,Melissa Oval is rolling Lily Triangle. (Agent highlight)
debug,2,67,3.30199999999968,0.008,,,N/A
debug,2,67,3.30999999999949,6,,,Melissa Oval is rolling Lily Triangle. (Agent highlight)
debug,2,67,3.53999999999951,0.012,,,N/A
debug,2,67,3.55199999999968,6,,,Zach Star is being balanced by Melissa Oval. (Agent highlight)
debug,2,67,3.7819999999997,0.002,,,N/A
debug,2,67,3.78399999999965,6,,,Zach Star is being balanced by Melissa Oval. (Agent highlight)
debug,2,67,4.01399999999967,0.002,,,N/A
debug,2,67,4.01599999999962,6,,,Melissa Oval is stopping Kyle Square. (Patient highlight)
debug,2,67,4.24599999999964,0.012,,,N/A
debug,2,67,4.25799999999981,6,,,Melissa Oval is stopping Kyle Square. (Patient highlight)
debug,2,67,4.48799999999983,0.004,,,N/A
debug,2,67,4.49199999999973,6,,,Kyle Square is balancing Melissa Oval. (Agent highlight)
debug,2,67,4.72199999999975,0.006,,,N/A
debug,2,67,4.72799999999961,6,,,Lily Triangle is being balanced by Kyle Square. (Agent highlight)
debug,2,67,4.95799999999963,0.002,,,N/A
debug,2,67,4.95999999999958,6,,,Lily Triangle is being balanced by Kyle Square. (Agent highlight)
debug,2,67,5.1899999999996,6,,,Zach Star is being shaken by Melissa Oval. (Patient highlight)
debug,2,67,5.41999999999962,0.004,,,N/A
debug,2,67,5.42399999999952,6,,,Zach Star is being shaken by Melissa Oval. (Patient highlight)
debug,2,67,5.65399999999954,0.002,,,N/A
debug,2,67,5.65599999999949,6,,,Zach Star is being stopped by Lily Triangle. (Patient highlight)
debug,2,67,5.88599999999951,0.002,,,N/A
debug,2,67,5.88799999999947,6,,,Zach Star is being stopped by Lily Triangle. (Patient highlight)
debug,2,67,6.11799999999948,0.006,,,N/A
debug,2,67,6.12399999999934,6,,,Lily Triangle is shaking Kyle Square. (Patient highlight)
debug,2,67,6.35399999999936,6,,,Lily Triangle is shaking Kyle Square. (Patient highlight)
debug,2,67,6.58399999999938,0.006,,,N/A
