SubjID,Run,Order,Onset
debug,1,1,
debug,1,1,0.380000000062864
debug,1,1,
debug,1,1,0.96000000013737
debug,1,1,
debug,1,1,1.54000000021188
debug,1,1,
debug,1,1,
debug,1,1,2.70000000036089
debug,1,1,
debug,1,1,3.28000000043539
debug,1,1,
debug,1,1,3.8600000005099
debug,1,1,
debug,1,1,4.84000000054948
debug,1,1,
debug,1,1,5.82000000058906
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,7.56000000075437
debug,1,1,
debug,1,1,
debug,1,1,8.52000000089174
debug,1,1,
debug,1,1,9.30000000097789
debug,1,1,
debug,1,1,10.080000001064
debug,1,1,
debug,1,1,10.8600000011502
debug,1,1,
debug,1,1,11.6400000012363
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,13.3600000014994
debug,1,1,
debug,1,1,
debug,1,1,14.7200000016019
debug,1,1,
debug,1,1,
debug,1,1,16.280000001716
debug,1,1,
debug,1,1,16.8600000017905
debug,1,1,
debug,1,1,17.440000001865
debug,1,1,
debug,1,1,18.2200000019511
debug,1,1,
debug,1,1,19.2000000019907
debug,1,1,
debug,1,1,
debug,1,1,20.3600000021397
debug,1,1,
debug,1,1,20.9400000022142
debug,1,1,
debug,1,1,21.7200000023004
debug,1,1,
debug,1,1,22.3000000023749
debug,1,1,
debug,1,1,23.2800000024145
debug,1,1,
debug,1,1,
debug,1,1,
debug,1,1,25.2200000025914
debug,1,1,
debug,1,1,26.200000002631
