SubjID,List,Run,Order,TrialNum,ItemNum,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
pilot3,1,1,1,1,60,DOPP_SEM_DIFF,DblObj,1,occ-name,occup_switch,0,0,0,0
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,6,NA,NA,NA
pilot3,1,1,1,2,70,DOPP_SYNT_DIFF,PP,1,occ-name,NA,8,2,1.18530398899748,1
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,14,NA,NA,NA
pilot3,1,1,1,3,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,16,0,0,0
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,22,NA,NA,NA
pilot3,1,1,1,4,48,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,26,0,0,0
pilot3,1,1,1,5,44,DOPP_SEM_DIFF,DblObj,1,occ-name,obj_switch,32,0,0,0
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,38,NA,NA,NA
pilot3,1,1,1,6,68,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,40,0,0,0
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,46,NA,NA,NA
pilot3,1,1,1,7,21,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,48,0,0,0
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot3,1,1,1,8,12,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,,,,
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot3,1,1,1,9,7,ActPas_SYNT_SAME,active,0,name-occ,NA,,,,
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot3,1,1,1,10,39,ActPas_SYNT_SAME,passive,0,name-occ,NA,,,,
pilot3,1,1,1,11,74,DOPP_SYNT_DIFF,PP,0,occ-name,NA,,,,
pilot3,1,1,1,12,57,DOPP_SEM_SAME,DblObj,1,name-occ,obj_synon,,,,
pilot3,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
pilot3,1,1,1,13,64,DOPP_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
pilot3,1,1,1,14,6,ActPas_SYNT_DIFF,active,1,occ-name,NA,,,,
