SubjID,List,Run,Order,TrialNum,Item,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
4,1,1,1,1,48,ActPas_SEM_DIFF,DblObj,1,occ-name,obj_switch,0,1,0.287540546036325,0
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,6,NA,NA,NA
4,1,1,1,2,38,ActPas_SEM_DIFF,passive,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,3,19,ActPas_SEM_DIFF,active,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,4,59,ActPas_SEM_DIFF,DblObj,0,name-occ,NA,,,,
4,1,1,1,5,54,ActPas_SEM_DIFF,DblObj,0,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,6,32,ActPas_SEM_DIFF,passive,1,occ-name,noun_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,7,44,ActPas_SEM_DIFF,DblObj,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,8,41,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,9,16,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,10,40,ActPas_SEM_DIFF,passive,1,occ-name,noun_switch,,,,
4,1,1,1,11,68,ActPas_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
4,1,1,1,12,2,ActPas_SEM_DIFF,active,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,13,1,ActPas_SEM_DIFF,active,1,name-occ,noun_synon,,,,
4,1,1,1,14,35,ActPas_SEM_DIFF,passive,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,15,76,ActPas_SEM_DIFF,PP,1,occ-name,obj_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,16,39,ActPas_SEM_DIFF,passive,0,name-occ,NA,,,,
