SubjID,List,Run,Order,TrialNum,Item,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,17,80,ActPas_SEM_DIFF,PP,1,occ-name,occup_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,18,45,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,19,8,ActPas_SEM_DIFF,active,1,occ-name,verb_switch,,,,
4,1,1,1,20,74,ActPas_SEM_DIFF,PP,0,occ-name,NA,,,,
4,1,1,1,21,49,ActPas_SEM_DIFF,DblObj,1,name-occ,obj_synon,,,,
4,1,1,1,22,47,ActPas_SEM_DIFF,DblObj,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,23,46,ActPas_SEM_DIFF,DblObj,1,occ-name,NA,,,,
4,1,1,1,24,10,ActPas_SEM_DIFF,active,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,25,53,ActPas_SEM_DIFF,DblObj,1,name-occ,occup_synon,,,,
4,1,1,1,26,50,ActPas_SEM_DIFF,DblObj,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,27,65,ActPas_SEM_DIFF,PP,1,name-occ,occup_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,28,24,ActPas_SEM_DIFF,passive,1,occ-name,verb_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,29,69,ActPas_SEM_DIFF,PP,1,name-occ,obj_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,30,51,ActPas_SEM_DIFF,DblObj,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,31,14,ActPas_SEM_DIFF,active,0,occ-name,NA,,,,
4,1,1,1,32,34,ActPas_SEM_DIFF,passive,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,33,9,ActPas_SEM_DIFF,active,1,name-occ,verb_synon,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,34,20,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,35,70,ActPas_SEM_DIFF,PP,1,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,36,23,ActPas_SEM_DIFF,passive,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,37,61,ActPas_SEM_DIFF,PP,1,name-occ,occup_synon,,,,
4,1,1,1,38,57,ActPas_SEM_DIFF,DblObj,1,name-occ,obj_synon,,,,
4,1,1,1,39,30,ActPas_SEM_DIFF,passive,0,occ-name,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
4,1,1,1,40,55,ActPas_SEM_DIFF,DblObj,0,name-occ,NA,,,,
4,1,1,1,NA,NA,FIX,NA,NA,NA,NA,,NA,NA,NA
