Onset,Duration,Condition
0,6,ActPas_SEM_SAME
6,4,NULL
10,6,ActPas_SEM_SAME
16,6,NULL
22,6,DOPP_SEM_DIFF
28,6,NULL
34,6,ActPas_SEM_DIFF
40,6,DOPP_SYNT_DIFF
46,6,ActPas_SEM_DIFF
52,2,NULL
54,6,ActPas_SEM_SAME
60,4,NULL
64,6,ActPas_SYNT_DIFF
70,2,NULL
72,6,ActPas_SYNT_SAME
78,6,ActPas_SYNT_SAME
84,2,NULL
86,6,DOPP_SYNT_DIFF
92,4,NULL
96,6,DOPP_SYNT_SAME
102,2,NULL
104,6,DOPP_SEM_DIFF
110,6,ActPas_SYNT_SAME
116,4,NULL
120,6,ActPas_SYNT_DIFF
126,6,NULL
132,6,DOPP_SEM_SAME
138,6,DOPP_SEM_SAME
144,2,NULL
146,6,DOPP_SYNT_DIFF
152,6,NULL
158,6,ActPas_SEM_SAME
164,6,DOPP_SYNT_SAME
170,8,NULL
178,6,ActPas_SEM_DIFF
184,2,NULL
186,6,DOPP_SYNT_SAME
192,8,NULL
200,6,ActPas_SEM_DIFF
206,6,NULL
212,6,DOPP_SEM_SAME
218,4,NULL
222,6,DOPP_SEM_SAME
228,6,NULL
234,6,DOPP_SEM_DIFF
240,2,NULL
242,6,DOPP_SYNT_SAME
248,6,DOPP_SYNT_DIFF
254,6,ActPas_SYNT_SAME
260,4,NULL
264,6,ActPas_SEM_DIFF
270,6,ActPas_SYNT_SAME
276,2,NULL
278,6,ActPas_SYNT_DIFF
284,2,NULL
286,6,ActPas_SYNT_DIFF
292,6,DOPP_SEM_SAME
298,6,DOPP_SYNT_SAME
304,6,DOPP_SEM_DIFF
310,10,NULL
320,6,ActPas_SYNT_DIFF
326,6,DOPP_SEM_DIFF
332,2,NULL
334,6,DOPP_SYNT_DIFF
340,10,NULL
350,6,ActPas_SEM_SAME
356,4,NULL
