Onset,Duration,Condition
0,6,ActPas_SEM_SAME
6,4,NULL
10,6,ActPas_SEM_DIFF
16,2,NULL
18,6,ActPas_SYNT_SAME
24,6,ActPas_SEM_DIFF
30,8,NULL
38,6,DOPP_SEM_SAME
44,6,DOPP_SEM_SAME
50,2,NULL
52,6,ActPas_SYNT_SAME
58,6,ActPas_SEM_SAME
64,12,NULL
76,6,ActPas_SEM_DIFF
82,6,ActPas_SYNT_SAME
88,2,NULL
90,6,ActPas_SYNT_DIFF
96,6,NULL
102,6,ActPas_SEM_SAME
108,6,ActPas_SEM_SAME
114,6,ActPas_SEM_DIFF
120,6,DOPP_SYNT_DIFF
126,4,NULL
130,6,ActPas_SYNT_DIFF
136,6,NULL
142,6,DOPP_SEM_DIFF
148,6,DOPP_SEM_DIFF
154,6,NULL
160,6,ActPas_SYNT_SAME
166,4,NULL
170,6,DOPP_SEM_SAME
176,2,NULL
178,6,DOPP_SEM_SAME
184,4,NULL
188,6,ActPas_SEM_DIFF
194,2,NULL
196,6,DOPP_SYNT_SAME
202,4,NULL
206,6,DOPP_SYNT_DIFF
212,6,DOPP_SYNT_SAME
218,2,NULL
220,6,DOPP_SYNT_SAME
226,2,NULL
228,6,DOPP_SYNT_DIFF
234,6,NULL
240,6,DOPP_SYNT_SAME
246,6,DOPP_SEM_DIFF
252,6,NULL
258,6,DOPP_SEM_DIFF
264,2,NULL
266,6,ActPas_SYNT_DIFF
272,10,NULL
282,6,DOPP_SYNT_DIFF
288,10,NULL
298,6,DOPP_SEM_DIFF
304,6,DOPP_SEM_SAME
310,6,NULL
316,6,ActPas_SEM_SAME
322,6,DOPP_SYNT_DIFF
328,2,NULL
330,6,ActPas_SYNT_DIFF
336,2,NULL
338,6,DOPP_SYNT_SAME
344,6,ActPas_SYNT_SAME
350,6,ActPas_SYNT_DIFF
356,4,NULL
