Onset,Duration,Condition
0,6,ActPas_SEM_SAME
6,2,NULL
8,6,ActPas_SEM_DIFF
14,2,NULL
16,6,DOPP_SEM_SAME
22,6,ActPas_SEM_DIFF
28,6,ActPas_SYNT_SAME
34,2,NULL
36,6,ActPas_SEM_DIFF
42,2,NULL
44,6,DOPP_SYNT_DIFF
50,4,NULL
54,6,DOPP_SEM_DIFF
60,2,NULL
62,6,DOPP_SYNT_DIFF
68,6,NULL
74,6,ActPas_SYNT_DIFF
80,6,DOPP_SEM_DIFF
86,12,NULL
98,6,ActPas_SEM_DIFF
104,6,NULL
110,6,DOPP_SYNT_SAME
116,10,NULL
126,6,ActPas_SYNT_SAME
132,4,NULL
136,6,ActPas_SYNT_DIFF
142,4,NULL
146,6,DOPP_SEM_SAME
152,6,DOPP_SEM_DIFF
158,4,NULL
162,6,DOPP_SYNT_SAME
168,6,DOPP_SYNT_SAME
174,6,NULL
180,6,ActPas_SYNT_DIFF
186,6,DOPP_SEM_SAME
192,6,DOPP_SEM_SAME
198,2,NULL
200,6,ActPas_SYNT_SAME
206,4,NULL
210,6,ActPas_SYNT_DIFF
216,4,NULL
220,6,ActPas_SEM_SAME
226,6,ActPas_SEM_SAME
232,4,NULL
236,6,ActPas_SEM_DIFF
242,4,NULL
246,6,ActPas_SYNT_DIFF
252,6,ActPas_SEM_SAME
258,6,NULL
264,6,ActPas_SYNT_SAME
270,4,NULL
274,6,DOPP_SEM_DIFF
280,2,NULL
282,6,DOPP_SYNT_SAME
288,4,NULL
292,6,DOPP_SYNT_DIFF
298,6,DOPP_SYNT_DIFF
304,4,NULL
308,6,DOPP_SYNT_DIFF
314,6,DOPP_SEM_DIFF
320,6,NULL
326,6,DOPP_SEM_SAME
332,4,NULL
336,6,ActPas_SYNT_SAME
342,6,ActPas_SEM_SAME
348,2,NULL
350,6,DOPP_SYNT_SAME
356,4,NULL
