SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,C,0,0.12,Patient,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,0.126000000000204,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,0.245999999999185,0.12,Agent,1,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,0.371999999999389,0.52,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,0.891999999999825,0.12,Agent,0,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,1.01800000000003,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1.0580000000009,0.12,Agent,0,Melissa Oval is stopping Zach Star.,Melissa,Oval,Zach,Star
reference,2,C,1.18400000000111,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1.30400000000009,0.12,Patient,0,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,1.43000000000029,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1.63000000000102,0.12,Agent,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,2,C,1.75600000000122,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,1.8760000000002,0.12,Agent,1,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,2,C,2.00200000000041,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2.04200000000128,0.12,Agent,1,Lily Triangle is being rolled by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,2.16800000000148,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2.32800000000134,0.12,Patient,1,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,2,C,2.45400000000154,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2.53400000000329,0.12,Agent,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,2,C,2.66000000000349,0.12,Patient,1,Melissa Oval is being bounced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,2.7860000000037,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,2.86600000000544,0.12,Agent,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
reference,2,C,2.99200000000565,0.12,Agent,0,Lily Triangle is stopping Melissa Oval.,Lily,Triangle,Melissa,Oval
reference,2,C,3.11800000000585,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3.31800000000658,0.12,Agent,0,Lily Triangle is stopping Zach Star.,Lily,Triangle,Zach,Star
reference,2,C,3.44400000000678,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3.56400000000576,0.12,Agent,1,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star
reference,2,C,3.69000000000597,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3.73000000000684,0.12,Agent,1,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star
reference,2,C,3.85600000000704,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,3.97600000000602,0.12,Patient,1,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle
reference,2,C,4.10200000000623,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,4.26200000000608,0.12,Patient,1,Melissa Oval is being balanced by Zach Star.,Zach,Star,Melissa,Oval
reference,2,C,4.38800000000629,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,4.58800000000701,0.12,Agent,0,Melissa Oval is shaking Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,4.71400000000722,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,4.75400000000809,0.12,Agent,0,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,2,C,4.88000000000829,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,4.96000000001004,0.12,Patient,0,Zach Star is balancing Kyle Square.,Zach,Star,Kyle,Square
reference,2,C,5.08600000001024,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,C,5.2460000000101,0.12,Agent,0,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle
reference,2,C,5.3720000000103,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
