SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,E,26.2080000000606,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,26.3680000000604,0.12,Patient,0,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,26.4940000000606,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,26.5740000000624,0.12,Patient,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,26.7000000000626,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,26.9000000000633,0.12,Agent,0,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,27.0260000000635,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,27.2260000000642,0.12,Patient,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,27.3520000000644,0.12,Agent,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
reference,1,E,27.4780000000646,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,27.5180000000655,0.12,Agent,1,Kyle Square is being shaken by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,27.6440000000657,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,27.9640000000654,0.12,Patient,0,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle
reference,1,E,28.0900000000656,0.12,Patient,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
reference,1,E,28.2160000000658,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,28.3360000000648,0.12,Patient,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,28.462000000065,0.32,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,28.7820000000647,0.12,Agent,0,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle
reference,1,E,28.9080000000649,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,28.9880000000667,0.12,Agent,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
reference,1,E,29.1140000000669,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,29.2740000000667,0.12,Agent,0,Zach Star is stopping Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,29.4000000000669,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
