SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,C,1,14.2219999993395,0.12,Patient,1,Lily Triangle is being stopped by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,C,N/A,14.3479999993287,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,47,14.6279999993276,0.12,Patient,1,Lily Triangle is being stopped by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,C,N/A,14.7539999993169,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,38,14.7939999993105,0.12,Patient,0,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle
reference,1,C,N/A,14.9199999992998,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,54,15.159999999305,0.12,Agent,0,Melissa Oval is rolling Zach Star.,Melissa,Oval,Zach,Star
reference,1,C,N/A,15.2859999992943,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,44,15.4459999992978,0.12,Patient,1,Lily Triangle is being balanced by Zach Star.,Zach,Star,Lily,Triangle
reference,1,C,N/A,15.5719999992871,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,33,15.6519999992888,0.12,Agent,1,Melissa Oval is being stopped by Zach Star.,Zach,Star,Melissa,Oval
reference,1,C,N/A,15.7779999992781,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,28,15.9779999992752,0.12,Agent,1,Kyle Square is being balanced by Lily Triangle.,Lily,Triangle,Kyle,Square
reference,1,C,37,16.1039999992645,0.12,Patient,1,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square
reference,1,C,35,16.2299999992538,0.12,Agent,1,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle
reference,1,C,N/A,16.3559999992431,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,C,59,16.6359999992419,0.12,Patient,0,Melissa Oval is balancing Lily Triangle.,Melissa,Oval,Lily,Triangle
