SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,2,A,0,0.6,Agent,1,Kyle Square is being shaken by Melissa Oval. (Agent highlight),Melissa,Oval,Kyle,Square
reference,2,A,0.230000000000018,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,0.230000000000018,0.6,Patient,1,Lily Triangle is being bounced by Melissa Oval. (Patient highlight),Melissa,Oval,Lily,Triangle
reference,2,A,0.460000000000036,0.6,Agent,1,Melissa Oval is being bounced by Kyle Square. (Agent highlight),Kyle,Square,Melissa,Oval
reference,2,A,0.690000000000055,0.6,Agent,1,Zach Star is being rolled by Lily Triangle. (Agent highlight),Lily,Triangle,Zach,Star
reference,2,A,0.920000000000073,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,0.920000000000073,0.6,Patient,1,Zach Star is being rolled by Lily Triangle. (Patient highlight),Lily,Triangle,Zach,Star
reference,2,A,1.15000000000009,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,1.15000000000009,0.6,Agent,1,Melissa Oval is being rolled by Kyle Square. (Agent highlight),Kyle,Square,Melissa,Oval
reference,2,A,1.38000000000011,1,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,1.38000000000011,0.6,Agent,1,Zach Star is being bounced by Kyle Square. (Agent highlight),Kyle,Square,Zach,Star
reference,2,A,1.61000000000013,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,1.61000000000013,0.6,Patient,0,Lily Triangle is bouncing Melissa Oval. (Patient highlight),Lily,Triangle,Melissa,Oval
reference,2,A,1.84000000000015,0.6,Agent,1,Melissa Oval is being rolled by Zach Star. (Agent highlight),Zach,Star,Melissa,Oval
reference,2,A,2.07000000000016,0.6,Patient,1,Zach Star is being balanced by Lily Triangle. (Patient highlight),Lily,Triangle,Zach,Star
reference,2,A,2.30000000000018,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,2.30000000000018,0.6,Agent,1,Lily Triangle is being bounced by Melissa Oval. (Agent highlight),Melissa,Oval,Lily,Triangle
reference,2,A,2.5300000000002,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,2.5300000000002,0.6,Agent,0,Melissa Oval is bouncing Kyle Square. (Agent highlight),Melissa,Oval,Kyle,Square
reference,2,A,2.76000000000022,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,2.76000000000022,0.6,Agent,0,Zach Star is stopping Kyle Square. (Agent highlight),Zach,Star,Kyle,Square
reference,2,A,2.99000000000024,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,2.99000000000024,0.6,Agent,1,Melissa Oval is being stopped by Kyle Square. (Agent highlight),Kyle,Square,Melissa,Oval
reference,2,A,3.22000000000025,0.6,Agent,0,Kyle Square is shaking Lily Triangle. (Agent highlight),Kyle,Square,Lily,Triangle
reference,2,A,3.45000000000027,0.6,Agent,1,Zach Star is being stopped by Lily Triangle. (Agent highlight),Lily,Triangle,Zach,Star
reference,2,A,3.68000000000029,1.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,3.68000000000029,0.6,Agent,1,Melissa Oval is being shaken by Zach Star. (Agent highlight),Zach,Star,Melissa,Oval
reference,2,A,3.91000000000031,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,3.91000000000031,0.6,Agent,1,Melissa Oval is being bounced by Zach Star. (Agent highlight),Zach,Star,Melissa,Oval
reference,2,A,4.14000000000033,1,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,4.14000000000033,0.6,Patient,1,Melissa Oval is being shaken by Kyle Square. (Patient highlight),Kyle,Square,Melissa,Oval
reference,2,A,4.37000000000035,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,4.37000000000035,0.6,Patient,0,Zach Star is balancing Kyle Square. (Patient highlight),Zach,Star,Kyle,Square
reference,2,A,4.60000000000036,0.6,Patient,1,Zach Star is being stopped by Lily Triangle. (Patient highlight),Lily,Triangle,Zach,Star
reference,2,A,4.83000000000038,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,4.83000000000038,0.6,Agent,0,Melissa Oval is balancing Kyle Square. (Agent highlight),Melissa,Oval,Kyle,Square
reference,2,A,5.0600000000004,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,5.0600000000004,0.6,Agent,0,Lily Triangle is balancing Melissa Oval. (Agent highlight),Lily,Triangle,Melissa,Oval
reference,2,A,5.29000000000042,0.6,Patient,0,Kyle Square is shaking Lily Triangle. (Patient highlight),Kyle,Square,Lily,Triangle
reference,2,A,5.52000000000044,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,5.52000000000044,0.6,Patient,0,Kyle Square is balancing Zach Star. (Patient highlight),Kyle,Square,Zach,Star
reference,2,A,5.75000000000045,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,5.75000000000045,0.6,Patient,0,Zach Star is stopping Melissa Oval. (Patient highlight),Zach,Star,Melissa,Oval
reference,2,A,5.98000000000047,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,5.98000000000047,0.6,Agent,0,Zach Star is stopping Lily Triangle. (Agent highlight),Zach,Star,Lily,Triangle
reference,2,A,6.21000000000049,1.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,6.21000000000049,0.6,Agent,1,Lily Triangle is being balanced by Zach Star. (Agent highlight),Zach,Star,Lily,Triangle
reference,2,A,6.44000000000051,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,6.44000000000051,0.6,Agent,0,Kyle Square is rolling Zach Star. (Agent highlight),Kyle,Square,Zach,Star
reference,2,A,6.67000000000053,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,6.67000000000053,0.6,Agent,1,Kyle Square is being bounced by Lily Triangle. (Agent highlight),Lily,Triangle,Kyle,Square
reference,2,A,6.90000000000055,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,6.90000000000055,0.6,Agent,0,Lily Triangle is bouncing Melissa Oval. (Agent highlight),Lily,Triangle,Melissa,Oval
reference,2,A,7.13000000000056,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,7.13000000000056,0.6,Agent,0,Zach Star is balancing Melissa Oval. (Agent highlight),Zach,Star,Melissa,Oval
reference,2,A,7.36000000000058,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,7.36000000000058,0.6,Agent,1,Zach Star is being shaken by Melissa Oval. (Agent highlight),Melissa,Oval,Zach,Star
reference,2,A,7.5900000000006,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,7.5900000000006,0.6,Patient,0,Melissa Oval is bouncing Kyle Square. (Patient highlight),Melissa,Oval,Kyle,Square
reference,2,A,7.82000000000062,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,7.82000000000062,0.6,Patient,1,Melissa Oval is being rolled by Zach Star. (Patient highlight),Zach,Star,Melissa,Oval
reference,2,A,8.05000000000064,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,8.05000000000064,0.6,Patient,0,Lily Triangle is shaking Zach Star. (Patient highlight),Lily,Triangle,Zach,Star
reference,2,A,8.28000000000065,0.6,Patient,1,Kyle Square is being bounced by Lily Triangle. (Patient highlight),Lily,Triangle,Kyle,Square
reference,2,A,8.51000000000067,0.6,Patient,1,Lily Triangle is being balanced by Zach Star. (Patient highlight),Zach,Star,Lily,Triangle
reference,2,A,8.74000000000069,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,8.74000000000069,0.6,Patient,1,Melissa Oval is being bounced by Kyle Square. (Patient highlight),Kyle,Square,Melissa,Oval
reference,2,A,8.97000000000071,1.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,8.97000000000071,0.6,Agent,1,Lily Triangle is being stopped by Kyle Square. (Agent highlight),Kyle,Square,Lily,Triangle
reference,2,A,9.20000000000073,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,9.20000000000073,0.6,Agent,0,Zach Star is balancing Kyle Square. (Agent highlight),Zach,Star,Kyle,Square
reference,2,A,9.43000000000075,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,9.43000000000075,0.6,Patient,0,Kyle Square is shaking Zach Star. (Patient highlight),Kyle,Square,Zach,Star
reference,2,A,9.66000000000076,0.6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,9.66000000000076,0.6,Patient,1,Zach Star is being shaken by Melissa Oval. (Patient highlight),Melissa,Oval,Zach,Star
reference,2,A,9.89000000000078,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,9.89000000000078,0.6,Agent,0,Melissa Oval is stopping Zach Star. (Agent highlight),Melissa,Oval,Zach,Star
reference,2,A,10.1200000000008,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,10.1200000000008,0.6,Agent,1,Zach Star is being bounced by Lily Triangle. (Agent highlight),Lily,Triangle,Zach,Star
reference,2,A,10.3500000000008,0.4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,10.3500000000008,0.6,Agent,0,Kyle Square is balancing Zach Star. (Agent highlight),Kyle,Square,Zach,Star
reference,2,A,10.5800000000008,0.8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,10.5800000000008,0.6,Patient,1,Zach Star is being stopped by Kyle Square. (Patient highlight),Kyle,Square,Zach,Star
reference,2,A,10.8100000000009,0.6,Agent,0,Lily Triangle is stopping Melissa Oval. (Agent highlight),Lily,Triangle,Melissa,Oval
reference,2,A,11.0400000000009,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,11.0400000000009,0.6,Patient,0,Zach Star is bouncing Lily Triangle. (Patient highlight),Zach,Star,Lily,Triangle
reference,2,A,11.2700000000009,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,2,A,11.2700000000009,0.6,Patient,0,Melissa Oval is rolling Kyle Square. (Patient highlight),Melissa,Oval,Kyle,Square
